ftu,BPB_1,BPB_2,BPB_3,BPB_4,BPB_5,DPR_1,DPR_2,DPR_3,DPR_4,DPR_5,HBR_1,HBR_2,HBR_3,HBR_4,HBR_5,KBB_1,KBB_2,KBB_3,KBB_4,KBB_5,MKR_1,MKR_2,MKR_3,MKR_4,MKR_5,PBS_1,PBS_2,PBS_3,PBS_4,PBS_5,PCB_1,PCB_2,PCB_3,PCB_4,PCB_5,PCC_1,PCC_2,PCC_3,PCC_4,PCC_5,PCR_1,PCR_2,PCR_3,PCR_4,PCR_5,PCW_1,PCW_2,PCW_3,PCW_4,PCW_5,PMB_1,PMB_2,PMB_3,PMB_4,PMB_5,POB_1,POB_2,POB_3,POC_1,POC_2,POC_3,POC_4,POC_5,RRR_1,RRR_2,RRR_3,RRR_4,RRR_5,RTCC_1,RTCC_2,RTCC_3,RTCC_4,RTCC_5,RTCR_1,RTCR_2,RTCR_3,RTCR_4,RTCR_5,RTCS_1,RTCS_2,RTCS_3,RTCS_4,RTCS_5,SFMS_1,SFMS_2,SFMS_3,SFMS_4,SFMS_5,SQB_1,SQB_2,SQB_3,SQB_4,SQB_5,SWR_1,SWR_2,SWR_3,SWR_4,SWR_5
diat,NA,NA,NA,NA,NA,65.31,64,62,62.5,61.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96,1.92,NA,NA,NA,2.5,2,NA,NA,NA,2.5,21.21,3.95,28.85,16.92,16.9,7.61,12.5,2.97,6.02,NA,NA,NA,NA,NA,NA,6,4.26,16,4.17,10,NA,NA,NA,2.94,NA,9.52,NA,3.28,NA,NA,NA,NA,NA,16,10.2,26.32,11.11,7.55,6.06,1.56,2.99,NA,3.12,NA,1.61,NA,NA,3.28,NA,NA,21.57,10,18,NA,NA,NA,NA,NA,8.51,NA,1.27,2.63,NA,13.73,21.82,20.69,27.87,28
dili,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
enbr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06,2.33,1.27,6.58,NA,NA,NA,NA,NA,NA
fudi,3.28,4.29,1.75,5.26,1.96,4.08,2,NA,NA,4.08,14.89,8.89,12.77,NA,4.55,7.55,9.09,NA,4.17,1.96,15.38,2,5.77,12.96,12.5,24,NA,NA,NA,7.5,9.09,18.42,25,20,7.04,9.78,6.82,2.97,9.64,3.85,25.49,14.29,17.54,17.24,20,12,4.26,8,10.42,8,23.64,10.29,15.15,4.41,12.31,4.76,38.24,4.92,3.57,3.85,3.28,2.94,1.72,10,14.29,1.75,NA,5.66,NA,1.56,2.99,6.25,1.56,NA,4.84,1.64,NA,3.28,NA,NA,1.96,12,20,35,17.5,7.5,12.5,17.5,23.4,19.77,18.99,17.11,19.61,15.69,5.45,22.41,14.75,24
grfi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
grsp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hasc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56,NA,NA,NA,8.33,1.61,1.64,NA,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,1.32,NA,NA,NA,NA,NA,NA
lich,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.88,NA,NA,NA,NA,NA,NA,7.5,12.2,NA,NA,NA,22.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.57,1.75,NA,NA,NA,NA,NA,NA,NA,3.64,NA,NA,7.35,10.77,NA,NA,NA,14.29,13.46,NA,NA,3.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.76,12.73,3.45,NA,4
maja,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89,1.82,NA,NA,3.92,NA,2,NA,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64,1.89,NA,NA,NA,NA,NA,NA,5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mapa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.64,8.89,8.51,18.18,15.91,NA,NA,NA,NA,NA,1.92,NA,1.92,1.85,NA,20,42.5,46.34,52.5,20,4.55,7.89,5.77,6.15,4.23,2.17,2.27,0.99,6.02,7.69,1.96,NA,1.75,NA,NA,10,2.13,6,4.17,4,NA,NA,NA,NA,1.54,4.76,2.94,NA,1.79,5.77,6.56,NA,3.45,NA,NA,NA,NA,3.77,1.52,1.56,1.49,3.12,NA,10,6.45,6.56,7.55,3.28,27.5,42,7.84,12,6,2.5,17.5,12.5,10,5,1.06,1.16,NA,2.63,1.96,1.96,1.82,1.72,NA,NA
