site_name,old_site_code,date,transect_no,position_m,pred_SWL,pred_time,station,sighter_tidal_ele,pos_tidal_ele,eyeheight_ft,sighter_trans_no,sighter_pos_m,SWL_time _24h,SWL_height_ft,stadia_height_ft,seawall height m,converted to feet,added to elev,physical_features,pf_no,notes
Horseshoe Bay,HB,5/22/2019,1,2.5,0.37,1054,9414290 San Francisco,2.8,3.1,5.5,3,5.3,1052,7.9,5.2,,,,,,
Horseshoe Bay,HB,5/22/2019,1,3,0.37,1054,9414290 San Francisco,2.8,2.4,5.5,3,5.3,1052,7.9,5.9,,,,,,
Horseshoe Bay,HB,5/22/2019,1,3.5,0.37,1054,9414290 San Francisco,2.8,2,5.5,3,5.3,1052,7.9,6.3,,,,,,
Horseshoe Bay,HB,5/22/2019,1,4.5,0.37,1054,9414290 San Francisco,2.8,2.9,5.5,3,5.3,1052,7.9,5.4,,,,,,
Horseshoe Bay,HB,5/22/2019,1,5.5,0.37,1054,9414290 San Francisco,2.8,3.7,5.5,3,5.3,1052,7.9,4.6,,,,,,
Horseshoe Bay,HB,5/22/2019,1,6.5,0.37,1054,9414290 San Francisco,2.8,4,5.5,3,5.3,1052,7.9,4.3,,,,,,
Horseshoe Bay,HB,5/22/2019,1,7.5,0.37,1054,9414290 San Francisco,2.8,4.7,5.5,3,5.3,1052,7.9,3.6,,,,,,
Horseshoe Bay,HB,5/22/2019,1,8.5,0.37,1054,9414290 San Francisco,2.8,5.9,5.5,3,5.3,1052,7.9,2.4,,,,,,
Horseshoe Bay,HB,5/22/2019,1,9.3,0.37,1054,9414290 San Francisco,2.8,5.8,5.5,3,5.3,1052,7.9,2.5,,,,,,
Horseshoe Bay,HB,5/22/2019,2,0,0.37,1054,9414290 San Francisco,2.8,0.2,5.5,3,5.3,1052,7.9,8.1,,,,,,
Horseshoe Bay,HB,5/22/2019,2,0.5,0.37,1054,9414290 San Francisco,2.8,0.6,5.5,3,5.3,1052,7.9,7.7,,,,,,
Horseshoe Bay,HB,5/22/2019,2,1,0.37,1054,9414290 San Francisco,2.8,1.2,5.5,3,5.3,1052,7.9,7.1,,,,,,
Horseshoe Bay,HB,5/22/2019,2,1.5,0.37,1054,9414290 San Francisco,2.8,2.3,5.5,3,5.3,1052,7.9,6,,,,,,
Horseshoe Bay,HB,5/22/2019,2,2,0.37,1054,9414290 San Francisco,2.8,1,5.5,3,5.3,1052,7.9,7.3,,,,,,
Horseshoe Bay,HB,5/22/2019,2,2.5,0.37,1054,9414290 San Francisco,2.8,2.2,5.5,3,5.3,1052,7.9,6.1,,,,,,
Horseshoe Bay,HB,5/22/2019,2,3,0.37,1054,9414290 San Francisco,2.8,2.4,5.5,3,5.3,1052,7.9,5.9,,,,,,
Horseshoe Bay,HB,5/22/2019,2,6,0.37,1054,9414290 San Francisco,2.8,4,5.5,3,5.3,1052,7.9,4.3,,,,,,
Horseshoe Bay,HB,5/22/2019,2,7,0.37,1054,9414290 San Francisco,2.8,4.2,5.5,3,5.3,1052,7.9,4.1,,,,,,
Horseshoe Bay,HB,5/22/2019,2,8,0.37,1054,9414290 San Francisco,2.8,4.5,5.5,3,5.3,1052,7.9,3.8,,,,,,
Horseshoe Bay,HB,5/22/2019,2,8.9,0.37,1054,9414290 San Francisco,2.8,5.7,5.5,3,5.3,1052,7.9,2.6,,,,,,
Horseshoe Bay,HB,5/22/2019,3,0,0.37,1054,9414290 San Francisco,2.8,0.1,5.5,3,5.3,1052,7.9,8.2,,,,,,
Horseshoe Bay,HB,5/22/2019,3,0.5,0.37,1054,9414290 San Francisco,2.8,0.2,5.5,3,5.3,1052,7.9,8.1,,,,,,
Horseshoe Bay,HB,5/22/2019,3,1,0.37,1054,9414290 San Francisco,2.8,0.9,5.5,3,5.3,1052,7.9,7.4,,,,,,
Horseshoe Bay,HB,5/22/2019,3,1.5,0.37,1054,9414290 San Francisco,2.8,1,5.5,3,5.3,1052,7.9,7.3,,,,,,
Horseshoe Bay,HB,5/22/2019,3,2,0.37,1054,9414290 San Francisco,2.8,1.7,5.5,3,5.3,1052,7.9,6.6,,,,,,
Horseshoe Bay,HB,5/22/2019,3,2.5,0.37,1054,9414290 San Francisco,2.8,2.7,5.5,3,5.3,1052,7.9,5.6,,,,,,
Horseshoe Bay,HB,5/22/2019,3,3,0.37,1054,9414290 San Francisco,2.8,3.3,5.5,3,5.3,1052,7.9,5,,,,,,
Horseshoe Bay,HB,5/22/2019,3,3.5,0.37,1054,9414290 San Francisco,2.8,3,5.5,3,5.3,1052,7.9,5.3,,,,,,
Horseshoe Bay,HB,5/22/2019,3,4,0.37,1054,9414290 San Francisco,2.8,2.4,5.5,3,5.3,1052,7.9,5.9,,,,,,
Horseshoe Bay,HB,5/22/2019,3,4.5,0.37,1054,9414290 San Francisco,2.8,2.7,5.5,3,5.3,1052,7.9,5.6,,,,,,
Horseshoe Bay,HB,5/22/2019,3,5,0.37,1054,9414290 San Francisco,2.8,3,5.5,3,5.3,1052,7.9,5.3,,,,,,
Horseshoe Bay,HB,5/22/2019,3,5.5,0.37,1054,9414290 San Francisco,2.8,2.7,5.5,3,5.3,1052,7.9,5.6,,,,,,
Horseshoe Bay,HB,5/22/2019,3,6.5,0.37,1054,9414290 San Francisco,2.8,4,5.5,3,5.3,1052,7.9,4.3,,,,,,
Horseshoe Bay,HB,5/22/2019,3,7.5,0.37,1054,9414290 San Francisco,2.8,4.4,5.5,3,5.3,1052,7.9,3.9,,,,,,
Horseshoe Bay,HB,5/22/2019,3,8.5,0.37,1054,9414290 San Francisco,2.8,4.6,5.5,3,5.3,1052,7.9,3.7,,,,,,
Horseshoe Bay,HB,5/22/2019,3,9.1,0.37,1054,9414290 San Francisco,2.8,4.9,5.5,3,5.3,1052,7.9,3.4,,,,,,
Horseshoe Bay,HB,5/22/2019,4,0,0.37,1054,9414290 San Francisco,2.8,0.9,5.5,3,5.3,1052,7.9,7.4,,,,,,
Horseshoe Bay,HB,5/22/2019,4,0.5,0.37,1054,9414290 San Francisco,2.8,1,5.5,3,5.3,1052,7.9,7.3,,,,,,
Horseshoe Bay,HB,5/22/2019,4,1,0.37,1054,9414290 San Francisco,2.8,1.3,5.5,3,5.3,1052,7.9,7,,,,,,
Horseshoe Bay,HB,5/22/2019,4,1.5,0.37,1054,9414290 San Francisco,2.8,2.9,5.5,3,5.3,1052,7.9,5.4,,,,,,
Horseshoe Bay,HB,5/22/2019,4,2,0.37,1054,9414290 San Francisco,2.8,1.6,5.5,3,5.3,1052,7.9,6.7,,,,,,
Horseshoe Bay,HB,5/22/2019,4,2.5,0.37,1054,9414290 San Francisco,2.8,3.3,5.5,3,5.3,1052,7.9,5,,,,,,
Horseshoe Bay,HB,5/22/2019,4,3,0.37,1054,9414290 San Francisco,2.8,3.1,5.5,3,5.3,1052,7.9,5.2,,,,,,
Horseshoe Bay,HB,5/22/2019,4,3.5,0.37,1054,9414290 San Francisco,2.8,3.4,5.5,3,5.3,1052,7.9,4.9,,,,,,
Horseshoe Bay,HB,5/22/2019,4,4,0.37,1054,9414290 San Francisco,2.8,2.2,5.5,3,5.3,1052,7.9,6.1,,,,,,
Horseshoe Bay,HB,5/22/2019,4,5,0.37,1054,9414290 San Francisco,2.8,3.9,5.5,3,5.3,1052,7.9,4.4,,,,,,
Horseshoe Bay,HB,5/22/2019,4,6,0.37,1054,9414290 San Francisco,2.8,3.8,5.5,3,5.3,1052,7.9,4.5,,,,,,
Horseshoe Bay,HB,5/22/2019,4,7,0.37,1054,9414290 San Francisco,2.8,4.3,5.5,3,5.3,1052,7.9,4,,,,,,
Horseshoe Bay,HB,5/22/2019,4,8.4,0.37,1054,9414290 San Francisco,2.8,4.5,5.5,3,5.3,1052,7.9,3.8,,,,,,
Horseshoe Bay,HB,5/22/2019,5,0,0.37,1054,9414290 San Francisco,2.8,1.2,5.5,3,5.3,1052,7.9,7.1,,,,,,
Horseshoe Bay,HB,5/22/2019,5,0.5,0.37,1054,9414290 San Francisco,2.8,0.4,5.5,3,5.3,1052,7.9,7.9,,,,,,
Horseshoe Bay,HB,5/22/2019,5,1,0.37,1054,9414290 San Francisco,2.8,1,5.5,3,5.3,1052,7.9,7.3,,,,,,
Horseshoe Bay,HB,5/22/2019,5,1.5,0.37,1054,9414290 San Francisco,2.8,1.1,5.5,3,5.3,1052,7.9,7.2,,,,,,
Horseshoe Bay,HB,5/22/2019,5,2,0.37,1054,9414290 San Francisco,2.8,1,5.5,3,5.3,1052,7.9,7.3,,,,,,
Horseshoe Bay,HB,5/22/2019,5,2.5,0.37,1054,9414290 San Francisco,2.8,2.9,5.5,3,5.3,1052,7.9,5.4,,,,,,
Horseshoe Bay,HB,5/22/2019,5,3,0.37,1054,9414290 San Francisco,2.8,1.8,5.5,3,5.3,1052,7.9,6.5,,,,,,
Horseshoe Bay,HB,5/22/2019,5,3.5,0.37,1054,9414290 San Francisco,2.8,3.2,5.5,3,5.3,1052,7.9,5.1,,,,,,
Horseshoe Bay,HB,5/22/2019,5,4,0.37,1054,9414290 San Francisco,2.8,3.1,5.5,3,5.3,1052,7.9,5.2,,,,,,
Horseshoe Bay,HB,5/22/2019,5,4.5,0.37,1054,9414290 San Francisco,2.8,2.9,5.5,3,5.3,1052,7.9,5.4,,,,,,
Horseshoe Bay,HB,5/22/2019,5,5,0.37,1054,9414290 San Francisco,2.8,3.2,5.5,3,5.3,1052,7.9,5.1,,,,,,
Horseshoe Bay,HB,5/22/2019,5,6,0.37,1054,9414290 San Francisco,2.8,3.8,5.5,3,5.3,1052,7.9,4.5,,,,,,
Horseshoe Bay,HB,5/22/2019,5,7,0.37,1054,9414290 San Francisco,2.8,3.9,5.5,3,5.3,1052,7.9,4.4,,,,,,
Horseshoe Bay,HB,5/22/2019,5,8,0.37,1054,9414290 San Francisco,2.8,4.2,5.5,3,5.3,1052,7.9,4.1,,,,,,
Horseshoe Bay,HB,5/22/2019,5,8.5,0.37,1054,9414290 San Francisco,2.8,4.7,5.5,3,5.3,1052,7.9,3.6,,,,,,
Keller Beach,KB,7/3/2019,1,0,0.084,930,Chevron Oil Company Long Wharf,0.7,-1.4,5,3.5,,930,5.6,7.1,,,,,,sighter standing between transects 3 and 4. position on transect not relevant
Keller Beach,KB,7/3/2019,1,3,0.084,930,Chevron Oil Company Long Wharf,0.7,-0.3,5,3.5,,930,5.6,6,,,,,,sighter standing between transects 3 and 4. position on transect not relevant
Keller Beach,KB,7/3/2019,1,5,0.084,930,Chevron Oil Company Long Wharf,0.7,-0.4,5,3.5,,930,5.6,6.1,,,,,,sighter standing between transects 3 and 4. position on transect not relevant
Keller Beach,KB,7/3/2019,1,6,0.084,930,Chevron Oil Company Long Wharf,0.7,0.5,5,3.5,,930,5.6,5.2,,,,,,sighter standing between transects 3 and 4. position on transect not relevant
Keller Beach,KB,7/3/2019,1,7,0.084,930,Chevron Oil Company Long Wharf,0.7,1.4,5,3.5,,930,5.6,4.3,,,,,,sighter standing between transects 3 and 4. position on transect not relevant
Keller Beach,KB,7/3/2019,1,8,0.084,930,Chevron Oil Company Long Wharf,0.7,1.9,5,3.5,,930,5.6,3.8,,,,,,sighter standing between transects 3 and 4. position on transect not relevant
Keller Beach,KB,7/3/2019,1,9,0.084,930,Chevron Oil Company Long Wharf,0.7,1.7,5,3.5,,930,5.6,4,,,,,,sighter standing between transects 3 and 4. position on transect not relevant
Keller Beach,KB,7/3/2019,1,10,0.084,930,Chevron Oil Company Long Wharf,0.7,0.9,5,3.5,,930,5.6,4.8,,,,,,sighter standing between transects 3 and 4. position on transect not relevant
Keller Beach,KB,7/3/2019,1,11,0.084,930,Chevron Oil Company Long Wharf,0.7,2.1,5,3.5,,930,5.6,3.6,,,,,,sighter standing between transects 3 and 4. position on transect not relevant
Keller Beach,KB,7/3/2019,1,12,0.084,930,Chevron Oil Company Long Wharf,0.7,2.9,5,3.5,,930,5.6,2.8,,,,,,sighter standing between transects 3 and 4. position on transect not relevant
Keller Beach,KB,7/3/2019,1,13,0.084,930,Chevron Oil Company Long Wharf,0.7,3.2,5,3.5,,930,5.6,2.5,,,,,,sighter standing between transects 3 and 4. position on transect not relevant
Keller Beach,KB,7/3/2019,1,14,0.084,930,Chevron Oil Company Long Wharf,0.7,3.3,5,3.5,,930,5.6,2.4,,,,,,sighter standing between transects 3 and 4. position on transect not relevant
Keller Beach,KB,7/3/2019,2,0,0.084,930,Chevron Oil Company Long Wharf,0.7,-1.5,5,3.5,,930,5.6,7.2,,,,,,sighter standing between transects 3 and 4. position on transect not relevant
Keller Beach,KB,7/3/2019,2,3,0.084,930,Chevron Oil Company Long Wharf,0.7,-0.5,5,3.5,,930,5.6,6.2,,,,,,sighter standing between transects 3 and 4. position on transect not relevant
Keller Beach,KB,7/3/2019,2,7,0.084,930,Chevron Oil Company Long Wharf,0.7,0.4,5,3.5,,930,5.6,5.3,,,,,,sighter standing between transects 3 and 4. position on transect not relevant
Keller Beach,KB,7/3/2019,2,8,0.084,930,Chevron Oil Company Long Wharf,0.7,0.8,5,3.5,,930,5.6,4.9,,,,,,sighter standing between transects 3 and 4. position on transect not relevant
Keller Beach,KB,7/3/2019,2,9,0.084,930,Chevron Oil Company Long Wharf,0.7,2.2,5,3.5,,930,5.6,3.5,,,,,,sighter standing between transects 3 and 4. position on transect not relevant
