ftu,BPB_1,BPB_2,BPB_3,BPB_4,BPB_5,DPR_1,DPR_2,DPR_3,DPR_4,DPR_5,HBR_1,HBR_2,HBR_3,HBR_4,HBR_5,KBB_1,KBB_2,KBB_3,KBB_4,KBB_5,MKR_1,MKR_2,MKR_3,MKR_4,MKR_5,PBS_1,PBS_2,PBS_3,PBS_4,PBS_5,PCB_1,PCB_2,PCB_3,PCB_4,PCB_5,PCC_1,PCC_2,PCC_3,PCC_4,PCC_5,PCR_1,PCR_2,PCR_3,PCR_4,PCR_5,PCW_1,PCW_2,PCW_3,PCW_4,PCW_5,PMB_1,PMB_2,PMB_3,PMB_4,PMB_5,POB_1,POB_2,POB_3,POC_1,POC_2,POC_3,POC_4,POC_5,RRR_1,RRR_2,RRR_3,RRR_4,RRR_5,RTCC_1,RTCC_2,RTCC_3,RTCC_4,RTCC_5,RTCR_1,RTCR_2,RTCR_3,RTCR_4,RTCR_5,RTCS_1,RTCS_2,RTCS_3,RTCS_4,RTCS_5,SFMS_1,SFMS_2,SFMS_3,SFMS_4,SFMS_5,SQB_1,SQB_2,SQB_3,SQB_4,SQB_5,SWR_1,SWR_2,SWR_3,SWR_4,SWR_5
diat,NA,NA,NA,NA,NA,65.31,64,62,62.5,61.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96,1.92,NA,NA,NA,2.5,2,NA,NA,NA,2.5,21.21,3.95,28.85,16.92,16.9,7.61,12.5,2.97,6.02,NA,NA,NA,NA,NA,NA,6,4.26,16,4.17,10,NA,NA,NA,2.94,NA,9.52,NA,3.28,NA,NA,NA,NA,NA,16,10.2,26.32,11.11,7.55,6.06,1.56,2.99,NA,3.12,NA,1.61,NA,NA,3.28,NA,NA,21.57,10,18,NA,NA,NA,NA,NA,8.51,NA,1.27,2.63,NA,13.73,21.82,20.69,27.87,28
sand,NA,NA,NA,NA,NA,NA,NA,8,14.58,NA,NA,NA,NA,NA,NA,5.66,1.82,2.33,4.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41,NA,9.09,5.94,6.02,7.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.36,11.54,4.92,11.76,8.62,NA,NA,NA,NA,NA,33.33,37.5,37.31,28.12,23.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chsp,NA,NA,NA,NA,NA,NA,NA,NA,2.08,NA,NA,2.22,NA,2.27,NA,5.66,9.09,6.98,18.75,11.76,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.26,NA,NA,NA,NA,NA,1.79,1.75,NA,NA,2,2.13,NA,NA,NA,3.64,NA,3.03,1.47,3.08,4.76,2.94,1.64,NA,NA,NA,2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,NA,1.64,NA,NA,2.5,NA,5.88,4,NA,NA,NA,NA,2.5,NA,1.06,NA,1.27,NA,1.96,1.96,NA,NA,NA,1.33
cobb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13,NA,NA,2.27,NA,3.77,3.64,NA,2.08,NA,9.62,4,NA,NA,NA,NA,NA,NA,NA,NA,9.09,3.95,1.92,6.15,2.82,NA,NA,NA,NA,NA,15.69,3.57,3.51,13.79,6.67,NA,4.26,NA,NA,NA,1.82,NA,NA,NA,NA,NA,NA,3.28,5.36,11.54,24.59,20.59,8.62,8,NA,3.51,3.7,NA,21.21,6.25,4.48,9.38,6.25,NA,NA,6.56,NA,3.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,4.26,NA,NA,1.32,NA,1.96,NA,NA,NA,NA
mapa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.64,8.89,8.51,18.18,15.91,NA,NA,NA,NA,NA,1.92,NA,1.92,1.85,NA,20,42.5,46.34,52.5,20,4.55,7.89,5.77,6.15,4.23,2.17,2.27,0.99,6.02,7.69,1.96,NA,1.75,NA,NA,10,2.13,6,4.17,4,NA,NA,NA,NA,1.54,4.76,2.94,NA,1.79,5.77,6.56,NA,3.45,NA,NA,NA,NA,3.77,1.52,1.56,1.49,3.12,NA,10,6.45,6.56,7.55,3.28,27.5,42,7.84,12,6,2.5,17.5,12.5,10,5,1.06,1.16,NA,2.63,1.96,1.96,1.82,1.72,NA,NA
masp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13,2.22,4.26,NA,2.27,NA,1.82,4.65,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pysp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.53,8.89,8.51,11.36,11.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.64,1.47,NA,NA,3.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.67,3.23,1.64,1.89,4.92,2.5,NA,1.96,NA,NA,2.5,2.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
recr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.38,NA,6.38,2.27,4.55,15.09,3.64,NA,NA,NA,11.54,22,9.62,22.22,17.5,NA,NA,NA,NA,NA,4.55,NA,NA,NA,2.82,NA,NA,NA,1.2,1.92,NA,NA,15.79,3.45,3.33,NA,2.13,2,NA,NA,9.09,17.65,10.61,8.82,26.15,4.76,NA,1.64,19.64,5.77,11.48,2.94,32.76,2,NA,1.75,NA,3.77,NA,NA,NA,NA,NA,11.67,14.52,3.28,1.89,3.28,2.5,2,5.88,NA,NA,5,12.5,5,7.5,NA,3.19,4.65,5.06,5.26,5.88,5.88,1.82,1.72,3.28,4
chex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.26,NA,NA,5.66,5.45,9.3,2.08,NA,NA,8,1.92,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
posp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13,NA,NA,NA,5.45,2.33,4.17,NA,1.92,2,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,7.55,1.64,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
